Timestamp (Unix),ax,ay,az
2023-12-23 21:07:47.690,0.45, -0.27, -0.89
2023-12-23 21:07:47.691,0.45, -0.27, -0.88
2023-12-23 21:07:47.692,0.45, -0.26, -0.88
2023-12-23 21:07:47.693,0.45, -0.26, -0.89
2023-12-23 21:07:47.694,0.45, -0.26, -0.89
2023-12-23 21:07:47.695,0.46, -0.27, -0.88
2023-12-23 21:07:47.695,0.46, -0.27, -0.88
2023-12-23 21:07:47.697,0.46, -0.27, -0.88
2023-12-23 21:07:47.698,0.45, -0.26, -0.89
2023-12-23 21:07:47.698,0.45, -0.26, -0.89
2023-12-23 21:07:47.699,0.45, -0.26, -0.88
2023-12-23 21:07:47.700,0.46, -0.27, -0.89
2023-12-23 21:07:47.700,0.46, -0.27, -0.88
2023-12-23 21:07:47.701,0.45, -0.27, -0.88
2023-12-23 21:07:47.702,0.46, -0.26, -0.88
2023-12-23 21:07:47.703,0.45, -0.26, -0.89
2023-12-23 21:07:47.704,0.45, -0.26, -0.88
2023-12-23 21:07:47.704,0.45, -0.27, -0.88
2023-12-23 21:07:47.705,0.45, -0.27, -0.89
2023-12-23 21:07:47.706,0.45, -0.27, -0.88
2023-12-23 21:07:47.706,0.45, -0.27, -0.88
2023-12-23 21:07:47.707,0.45, -0.26, -0.88
2023-12-23 21:07:47.707,0.45, -0.26, -0.88
2023-12-23 21:07:47.708,0.45, -0.26, -0.88
2023-12-23 21:07:47.709,0.46, -0.27, -0.88
2023-12-23 21:07:47.710,0.46, -0.26, -0.88
2023-12-23 21:07:47.710,0.46, -0.26, -0.88
2023-12-23 21:07:47.711,0.46, -0.26, -0.88
2023-12-23 21:07:47.711,0.46, -0.26, -0.88
2023-12-23 21:07:47.711,0.46, -0.27, -0.88
2023-12-23 21:07:47.712,0.45, -0.27, -0.88
2023-12-23 21:07:47.712,0.45, -0.27, -0.88
2023-12-23 21:07:47.714,0.45, -0.27, -0.89
2023-12-23 21:07:47.714,0.45, -0.27, -0.89
2023-12-23 21:07:47.715,0.45, -0.27, -0.89
2023-12-23 21:07:47.716,0.45, -0.27, -0.88
2023-12-23 21:07:47.716,0.45, -0.27, -0.88
2023-12-23 21:07:47.717,0.45, -0.27, -0.88
2023-12-23 21:07:47.717,0.45, -0.27, -0.89
2023-12-23 21:07:47.718,0.45, -0.26, -0.90
2023-12-23 21:07:47.718,0.46, -0.26, -0.89
2023-12-23 21:07:47.720,0.46, -0.27, -0.89
2023-12-23 21:07:47.722,0.46, -0.26, -0.88
2023-12-23 21:07:47.723,0.46, -0.26, -0.89
2023-12-23 21:07:47.723,0.46, -0.26, -0.89
2023-12-23 21:07:47.724,0.45, -0.26, -0.89
2023-12-23 21:07:47.724,0.45, -0.27, -0.88
2023-12-23 21:07:47.725,0.45, -0.27, -0.89
2023-12-23 21:07:47.725,0.45, -0.27, -0.88
2023-12-23 21:07:47.726,0.45, -0.27, -0.88
2023-12-23 21:07:47.727,0.45, -0.26, -0.89
2023-12-23 21:07:47.728,0.45, -0.27, -0.89
2023-12-23 21:07:47.729,0.45, -0.27, -0.88
2023-12-23 21:07:47.733,0.45, -0.27, -0.88
2023-12-23 21:07:47.733,0.46, -0.26, -0.88
2023-12-23 21:07:47.734,0.46, -0.26, -0.88
2023-12-23 21:07:47.734,0.46, -0.26, -0.88
2023-12-23 21:07:47.735,0.46, -0.27, -0.88
2023-12-23 21:07:47.735,0.46, -0.27, -0.88
2023-12-23 21:07:47.736,0.45, -0.26, -0.88
2023-12-23 21:07:47.736,0.45, -0.27, -0.88
2023-12-23 21:07:47.736,0.46, -0.26, -0.89
2023-12-23 21:07:47.737,0.46, -0.27, -0.88
2023-12-23 21:07:47.737,0.46, -0.27, -0.89
2023-12-23 21:07:47.737,0.46, -0.26, -0.88
2023-12-23 21:07:47.738,0.45, -0.27, -0.88
2023-12-23 21:07:47.738,0.45, -0.26, -0.88
2023-12-23 21:07:47.738,0.45, -0.26, -0.89
2023-12-23 21:07:47.739,0.45, -0.27, -0.89
2023-12-23 21:07:47.739,0.46, -0.27, -0.89
2023-12-23 21:07:47.739,0.46, -0.27, -0.88
2023-12-23 21:07:47.740,0.46, -0.27, -0.88
2023-12-23 21:07:47.740,0.46, -0.26, -0.88
2023-12-23 21:07:47.740,0.45, -0.26, -0.89
2023-12-23 21:07:47.741,0.46, -0.26, -0.88
2023-12-23 21:07:47.741,0.46, -0.27, -0.88
2023-12-23 21:07:47.741,0.46, -0.27, -0.88
2023-12-23 21:07:47.742,0.46, -0.27, -0.88
2023-12-23 21:07:47.742,0.45, -0.27, -0.88
2023-12-23 21:07:47.742,0.45, -0.27, -0.88
2023-12-23 21:07:47.743,0.45, -0.27, -0.89
2023-12-23 21:07:47.743,0.45, -0.27, -0.88
2023-12-23 21:07:47.743,0.45, -0.27, -0.88
2023-12-23 21:07:47.744,0.46, -0.27, -0.88
2023-12-23 21:07:47.744,0.45, -0.26, -0.88
2023-12-23 21:07:47.744,0.45, -0.26, -0.88
2023-12-23 21:07:47.745,0.46, -0.26, -0.89
2023-12-23 21:07:47.745,0.46, -0.27, -0.89
2023-12-23 21:07:47.745,0.46, -0.27, -0.88
2023-12-23 21:07:47.747,0.46, -0.27, -0.88
2023-12-23 21:07:47.749,0.45, -0.26, -0.89
2023-12-23 21:07:47.749,0.45, -0.26, -0.88
2023-12-23 21:07:47.750,0.45, -0.27, -0.88
2023-12-23 21:07:47.750,0.46, -0.27, -0.88
2023-12-23 21:07:47.750,0.46, -0.26, -0.88
2023-12-23 21:07:47.751,0.46, -0.26, -0.89
2023-12-23 21:07:47.751,0.45, -0.26, -0.87
2023-12-23 21:07:47.751,0.45, -0.27, -0.88
2023-12-23 21:07:47.752,0.45, -0.27, -0.88
2023-12-23 21:07:47.752,0.46, -0.27, -0.89
2023-12-23 21:07:47.752,0.45, -0.27, -0.88
2023-12-23 21:07:47.753,0.46, -0.27, -0.88
2023-12-23 21:07:47.753,0.45, -0.26, -0.89
2023-12-23 21:07:47.754,0.45, -0.26, -0.88
2023-12-23 21:07:47.754,0.45, -0.27, -0.89
2023-12-23 21:07:47.754,0.46, -0.27, -0.88
2023-12-23 21:07:47.755,0.46, -0.26, -0.88
2023-12-23 21:07:47.755,0.45, -0.26, -0.88
2023-12-23 21:07:47.755,0.45, -0.26, -0.88
2023-12-23 21:07:47.756,0.45, -0.27, -0.88
2023-12-23 21:07:47.756,0.45, -0.27, -0.88
2023-12-23 21:07:47.756,0.46, -0.27, -0.88
2023-12-23 21:07:47.757,0.46, -0.27, -0.88
2023-12-23 21:07:47.757,0.45, -0.27, -0.85
2023-12-23 21:07:47.757,0.46, -0.26, -0.88
2023-12-23 21:07:47.758,0.46, -0.26, -0.89
2023-12-23 21:07:47.758,0.45, -0.26, -0.88
2023-12-23 21:07:47.758,0.46, -0.27, -0.88
2023-12-23 21:07:47.759,0.46, -0.27, -0.88
2023-12-23 21:07:47.759,0.46, -0.26, -0.89
2023-12-23 21:07:47.759,0.45, -0.27, -0.88
2023-12-23 21:07:47.760,0.46, -0.26, -0.88
2023-12-23 21:07:47.760,0.46, -0.27, -0.88
2023-12-23 21:07:47.760,0.46, -0.27, -0.89
2023-12-23 21:07:47.761,0.45, -0.27, -0.89
2023-12-23 21:07:47.761,0.45, -0.27, -0.88
2023-12-23 21:07:47.761,0.45, -0.26, -0.90
2023-12-23 21:07:47.762,0.45, -0.26, -0.89
2023-12-23 21:07:47.762,0.45, -0.26, -0.89
2023-12-23 21:07:47.762,0.45, -0.27, -0.89
2023-12-23 21:07:47.765,0.45, -0.26, -0.88
2023-12-23 21:07:47.765,0.45, -0.27, -0.90
